Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist
2026-02-05,8943.1,8946.1,8547.2,8686.4,8669.9,8778.4,8981.0,14.9,57.2,-42.3
2026-02-06,8555.1,8873.5,8483.5,8832.7,8738.4,8818.8,8970.6,18.5,49.4,-30.9
2026-02-09,9251.5,9476.3,9132.1,9406.7,8929.4,8889.5,8967.4,66.9,52.9,14.0
2026-02-10,9108.2,9822.5,9005.8,9693.2,9112.8,8957.6,8962.8,126.9,67.7,59.2
2026-02-12,9631.5,9896.1,9484.2,9643.4,9252.5,9009.2,8960.6,168.6,87.9,80.7
2026-02-13,9494.2,9643.4,9149.0,9289.3,9373.0,9047.9,8949.7,171.0,104.5,66.5
2026-02-16,9438.5,9569.8,9217.6,9307.2,9467.9,9079.9,8938.7,172.4,118.1,54.3
2026-02-17,9296.2,9296.2,8805.8,8805.8,9347.8,9088.8,8920.2,131.5,120.8,10.7
2026-02-18,9002.8,9165.9,8990.8,9022.7,9213.7,9095.6,8902.9,115.3,119.7,-4.4
2026-02-19,9589.7,9972.7,9369.8,9852.3,9255.4,9117.1,8903.8,167.4,129.2,38.2
2026-02-20,9846.3,10291.0,9731.0,9967.7,9391.1,9131.4,8901.4,215.6,146.5,69.1
2026-02-24,10022.4,10022.4,9414.6,9513.1,9432.3,9134.2,8892.9,214.6,160.1,54.5
2026-02-25,9649.4,9845.4,9445.4,9600.6,9591.3,9126.0,8886.4,218.4,171.8,46.6
2026-02-26,9798.6,10007.5,9707.1,9807.6,9748.3,9137.1,8886.6,235.3,184.5,50.8
2026-02-27,9822.5,10166.7,9778.7,10166.7,9811.1,9163.9,8901.7,274.6,202.5,72.1
2026-03-02,10196.5,10415.4,9982.6,10340.8,9885.7,9207.1,8917.6,316.1,225.2,90.9
2026-03-03,10445.2,10564.6,9879.2,9903.0,9963.7,9244.9,8933.1,310.1,242.2,67.9
2026-03-04,9604.6,9708.1,8873.5,9039.6,9851.5,9251.9,8935.9,233.0,240.3,-7.4
2026-03-05,9496.2,9647.4,9117.2,9282.3,9746.5,9280.9,8936.1,189.3,230.1,-40.9
2026-03-06,9130.1,9652.4,9009.7,9574.8,9628.1,9324.7,8940.1,176.2,219.4,-43.1
2026-03-09,9127.1,9140.1,8649.6,9047.5,9369.4,9337.9,8930.9,121.9,199.9,-78.0
2026-03-10,9500.2,9696.1,9396.7,9694.1,9327.7,9386.0,8933.7,129.6,185.8,-56.2
2026-03-11,9729.0,9967.7,9590.7,9590.7,9437.9,9431.6,8926.1,125.8,173.8,-48.0
2026-03-12,9505.1,10206.5,9494.2,9792.6,9540.0,9472.2,8928.5,137.6,166.6,-29.0
2026-03-13,9693.2,10181.6,9650.4,9987.6,9622.5,9513.9,8936.0,160.7,165.4,-4.6
2026-03-16,9947.8,10002.5,9574.8,9825.5,9778.1,9559.5,8937.3,164.1,165.1,-1.0
2026-03-17,9947.8,10042.3,9531.0,9598.6,9759.0,9590.1,8946.6,146.8,161.5,-14.6
2026-03-18,9742.9,10251.2,9549.9,10251.2,9891.1,9623.9,8967.9,183.7,165.9,17.8
2026-03-19,9878.2,10112.0,9730.0,9849.3,9902.5,9630.2,8981.4,178.4,168.4,10.0
2026-03-23,9947.8,10082.1,9339.0,9519.1,9808.7,9625.2,8989.3,145.9,163.9,-18.1
2026-03-24,9885.1,9896.1,9005.8,9208.7,9685.4,9622.0,8989.6,93.9,149.9,-56.0
2026-03-25,9357.9,9534.0,9123.1,9502.2,9666.1,9629.8,8998.1,75.6,135.1,-59.4
2026-03-26,9619.5,9795.6,9339.0,9433.5,9502.6,9654.9,9010.5,54.9,119.0,-64.1
2026-03-27,9177.9,9217.6,8911.3,9150.0,9362.7,9660.0,9018.5,15.5,98.3,-82.9
2026-03-30,8704.0,8830.0,8537.0,8806.0,9220.1,9618.1,9019.0,-43.1,70.0,-113.1
2026-03-31,8574.0,8686.0,8360.0,8371.0,9052.5,9554.2,9009.8,-123.1,31.4,-154.5
