Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist
2025-11-05,2027.0,2082.0,2022.0,2082.0,2047.8,2187.3,2385.9,-81.5,-77.5,-4.0
2025-11-06,2111.0,2117.0,2040.0,2044.0,2051.6,2175.0,2380.7,-80.5,-78.1,-2.4
2025-11-07,2049.0,2087.0,2039.0,2087.0,2057.8,2167.8,2376.1,-75.4,-77.5,2.1
2025-11-10,2160.0,2216.0,2160.0,2181.0,2082.2,2168.2,2373.1,-63.0,-74.6,11.6
2025-11-11,2200.0,2216.0,2171.0,2208.0,2120.4,2167.2,2370.3,-50.5,-69.8,19.3
2025-11-12,2218.0,2278.0,2201.0,2276.0,2159.2,2168.1,2367.4,-34.7,-62.8,28.1
2025-11-13,2284.0,2298.0,2257.0,2298.0,2210.0,2168.4,2364.4,-20.1,-54.2,34.1
2025-11-14,2408.0,2525.0,2363.0,2415.0,2275.6,2173.0,2363.4,0.9,-43.2,44.1
2025-11-17,2415.0,2441.0,2305.0,2310.0,2301.4,2172.3,2360.5,8.9,-32.8,41.7
2025-11-18,2291.0,2366.0,2281.0,2308.0,2321.4,2173.2,2358.4,15.0,-23.2,38.2
2025-11-19,2285.0,2324.0,2235.0,2267.0,2319.6,2173.9,2356.4,16.2,-15.3,31.6
2025-11-20,2285.0,2300.0,2258.0,2263.0,2312.6,2173.8,2354.8,16.7,-8.9,25.7
2025-11-21,2263.0,2368.0,2260.0,2365.0,2302.6,2179.8,2354.0,25.1,-2.1,27.2
2025-11-25,2333.0,2368.0,2294.0,2317.0,2304.0,2185.2,2352.7,27.5,3.8,23.7
2025-11-26,2343.0,2350.0,2305.0,2327.0,2307.8,2192.4,2351.2,29.9,9.0,20.9
2025-11-27,2306.0,2318.0,2276.0,2302.0,2314.8,2199.3,2349.4,29.4,13.1,16.3
2025-11-28,2310.0,2362.0,2309.0,2316.0,2325.4,2203.2,2347.4,29.8,16.4,13.4
2025-12-01,2410.0,2454.0,2382.0,2431.0,2338.6,2212.6,2346.5,39.0,21.0,18.0
2025-12-02,2428.0,2445.0,2388.0,2418.0,2358.8,2223.7,2344.9,44.7,25.7,19.0
2025-12-03,2390.0,2420.0,2319.0,2397.0,2372.8,2234.4,2342.9,47.0,30.0,17.0
2025-12-04,2400.0,2465.0,2390.0,2446.0,2401.6,2248.6,2345.3,52.1,34.4,17.7
2025-12-05,2440.0,2445.0,2396.0,2401.0,2418.6,2263.6,2344.7,52.0,37.9,14.1
2025-12-08,2429.0,2443.0,2377.0,2380.0,2408.4,2276.6,2343.9,49.6,40.2,9.4
2025-12-09,2380.0,2419.0,2368.0,2386.0,2402.0,2289.7,2343.0,47.6,41.7,5.9
2025-12-10,2372.0,2514.0,2368.0,2484.0,2419.4,2308.4,2342.1,53.4,44.1,9.3
2025-12-11,2493.0,2610.0,2470.0,2594.0,2449.0,2328.8,2343.4,66.1,48.5,17.6
2025-12-12,2595.0,2729.0,2593.0,2657.0,2500.2,2353.4,2346.0,80.3,54.8,25.4
2025-12-15,2688.0,2909.0,2653.0,2876.0,2599.4,2384.9,2349.7,107.9,65.4,42.5
2025-12-16,2828.0,2869.0,2731.0,2786.0,2679.4,2409.1,2352.1,121.2,76.6,44.6
2025-12-17,2778.0,2833.0,2736.0,2794.0,2741.4,2432.6,2351.5,130.9,87.5,43.4
2025-12-18,2802.0,2832.0,2696.0,2729.0,2768.4,2450.7,2349.7,131.8,96.3,35.4
2025-12-19,2710.0,2775.0,2675.0,2683.0,2773.6,2466.1,2348.5,127.3,102.5,24.8
2025-12-22,2670.0,2880.0,2630.0,2799.0,2758.2,2481.4,2350.8,131.6,108.3,23.3
2025-12-23,2827.0,2872.0,2815.0,2861.0,2773.2,2503.5,2354.6,138.4,114.3,24.1
2025-12-24,2861.0,2876.0,2822.0,2849.0,2784.2,2525.1,2359.2,141.2,119.7,21.5
2025-12-25,2848.0,3045.0,2840.0,3035.0,2845.4,2555.8,2366.2,156.6,127.1,29.5
2025-12-26,3070.0,3220.0,3000.0,3130.0,2934.8,2590.5,2374.5,174.5,136.6,37.9
2025-12-29,3120.0,3200.0,3065.0,3115.0,2998.0,2620.5,2381.9,185.3,146.3,39.0
2025-12-30,3145.0,3215.0,3090.0,3100.0,3045.8,2651.8,2390.3,190.5,155.2,35.3
2026-01-05,3150.0,3190.0,3105.0,3165.0,3109.0,2685.4,2399.8,197.6,163.6,33.9
2026-01-06,3180.0,3190.0,3070.0,3120.0,3126.0,2718.1,2409.1,197.3,170.4,26.9
2026-01-07,3120.0,3125.0,3000.0,3045.0,3109.0,2747.2,2416.8,188.8,174.1,14.7
2026-01-08,3045.0,3095.0,2926.0,2927.0,3071.4,2767.1,2423.1,170.6,173.4,-2.8
2026-01-09,3100.0,3170.0,3025.0,3090.0,3069.4,2794.0,2431.4,167.4,172.2,-4.8
2026-01-13,3055.0,3090.0,2980.0,2998.0,3036.0,2818.0,2439.0,155.6,168.9,-13.2
2026-01-14,2992.0,3025.0,2825.0,2825.0,2977.0,2833.2,2444.8,130.9,161.3,-30.4
2026-01-15,2861.0,3020.0,2861.0,3015.0,2971.0,2857.7,2453.6,125.1,154.0,-28.9
2026-01-16,2985.0,3015.0,2941.0,2968.0,2979.2,2881.2,2461.7,115.4,146.3,-30.9
2026-01-19,3200.0,3250.0,3100.0,3180.0,2997.2,2913.0,2472.5,123.4,141.7,-18.3
2026-01-20,3230.0,3345.0,3110.0,3295.0,3056.6,2945.4,2484.8,137.5,140.9,-3.4
2026-01-21,3225.0,3255.0,3035.0,3045.0,3100.6,2963.5,2493.2,127.0,138.1,-11.1
2026-01-22,3070.0,3125.0,2986.0,3015.0,3100.6,2977.8,2502.1,114.9,133.5,-18.6
2026-01-23,3015.0,3120.0,2994.0,3070.0,3121.0,2985.6,2512.7,108.5,128.5,-20.0
2026-01-26,3120.0,3215.0,3090.0,3135.0,3112.0,2999.5,2525.6,107.5,124.3,-16.8
2026-01-27,3115.0,3165.0,3075.0,3085.0,3070.0,3011.2,2537.0,101.4,119.7,-18.3
2026-01-28,3085.0,3085.0,3000.0,3035.0,3068.0,3023.4,2547.4,91.6,114.1,-22.5
2026-01-29,3005.0,3010.0,2895.0,2917.0,3048.4,3032.8,2555.8,73.4,105.9,-32.6
2026-01-30,2907.0,2920.0,2857.0,2892.0,3012.8,3036.5,2563.7,56.3,96.0,-39.7
2026-02-02,2885.0,2930.0,2858.0,2858.0,2957.4,3036.4,2570.7,39.5,84.7,-45.2
2026-02-03,2850.0,2900.0,2821.0,2860.0,2912.4,3036.8,2578.4,26.1,73.0,-46.9
2026-02-04,2858.0,2955.0,2823.0,2924.0,2890.2,3032.4,2587.4,20.4,62.5,-42.0
