Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist,ATR
2025-09-17,3084.2,3154.9,3061.3,3144.9,3155.3,3284.2,,-106.9,-123.9,17.0,125.2
2025-09-18,3143.9,3153.9,3094.2,3108.1,3162.1,3261.6,,-103.1,-119.8,16.6,123.3
2025-09-19,3084.2,3110.1,3019.5,3038.4,3130.2,3241.3,,-104.6,-116.7,12.1,117.8
2025-09-22,3068.3,3072.3,2953.8,2964.7,3077.4,3217.2,,-110.4,-115.5,5.1,116.3
2025-09-24,2887.1,3070.3,2877.1,3057.3,3062.7,3197.2,,-106.3,-113.6,7.3,121.9
2025-09-25,3036.4,3062.3,2981.7,3004.6,3034.6,3174.8,,-106.1,-112.1,6.0,119.8
2025-09-26,3004.6,3056.3,2986.7,2999.6,3012.9,3153.8,,-105.2,-110.7,5.6,114.8
2025-09-29,3019.5,3030.5,2964.7,2983.7,3002.0,3134.0,,-104.5,-109.5,5.0,104.3
2025-09-30,2948.3,2968.2,2926.9,2931.9,2995.4,3113.3,,-106.9,-109.0,2.1,100.1
2025-10-01,2897.1,2917.5,2855.2,2887.6,2961.5,3094.5,,-111.1,-109.4,-1.7,99.4
2025-10-02,2897.1,2916.0,2832.8,2890.6,2938.7,3075.4,,-112.9,-110.1,-2.8,98.3
2025-10-03,2688.5,2740.3,2640.2,2678.0,2874.4,3048.8,,-129.9,-114.1,-15.9,105.4
2025-10-06,2704.4,2717.9,2626.3,2663.6,2810.3,3024.4,,-143.0,-119.8,-23.1,104.2
2025-10-07,2663.1,2664.6,2611.3,2644.7,2752.9,3003.2,,-153.1,-126.5,-26.6,98.8
2025-10-08,2647.2,2690.5,2639.2,2690.5,2713.5,2983.5,,-155.6,-132.3,-23.3,95.8
2025-10-09,2660.1,2719.3,2650.2,2714.9,2678.3,2968.1,,-153.8,-136.6,-17.2,96.5
2025-10-10,2697.4,2829.4,2686.5,2775.6,2697.8,2959.0,,-145.9,-138.5,-7.4,100.2
2025-10-14,3024.5,3194.7,2986.7,3147.9,2794.7,2966.5,,-108.3,-132.4,24.2,121.7
2025-10-15,3078.2,3149.9,2997.6,3125.0,2890.8,2967.9,,-79.4,-121.8,42.4,118.8
2025-10-16,3155.9,3220.6,3066.3,3137.0,2980.1,2971.3,,-54.9,-108.4,53.5,124.0
2025-10-17,3137.0,3160.9,3071.3,3117.1,3060.5,2973.5,,-36.7,-94.1,57.4,125.4
