Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MA_Signal,MACD,MACD_Signal,MACD_Hist,ATR,Is_Weekly_Up
2026-01-22,2828.4,2841.6,2764.6,2764.6,2850.6,2590.6,,,113.8,99.5,14.2,72.8,False
2026-01-23,2771.0,2814.6,2762.6,2782.2,2820.3,2601.5,,,108.0,101.2,6.8,74.7,False
2026-01-26,2687.5,2735.6,2678.7,2678.7,2776.5,2611.4,,,94.0,99.8,-5.8,77.7,False
2026-01-27,2682.6,2719.4,2661.1,2719.4,2744.7,2623.9,,,85.2,96.9,-11.7,76.1,False
2026-01-28,2693.4,2716.5,2676.8,2698.3,2728.7,2636.5,,,75.6,92.6,-17.0,75.0,False
2026-01-29,2719.4,2737.1,2674.8,2724.3,2720.6,2649.3,,,69.4,88.0,-18.6,76.6,False
2026-01-30,2732.7,2758.2,2705.2,2751.8,2714.5,2661.4,,,65.9,83.6,-17.7,75.1,False
2026-02-02,2800.9,2801.4,2692.5,2692.5,2717.3,2670.4,,,57.6,78.4,-20.7,73.0,False
2026-02-03,2769.5,2828.4,2757.2,2828.4,2739.1,2686.2,2458.4,2458.4,61.4,75.0,-13.6,75.9,False
2026-02-04,2829.8,2896.5,2808.7,2894.1,2778.2,2704.4,2467.7,2467.7,68.8,73.7,-4.9,74.5,True
2026-02-05,2892.1,2892.6,2800.4,2825.4,2798.4,2719.9,2475.4,2475.4,68.4,72.7,-4.3,77.7,True
2026-02-06,2760.2,2896.1,2750.3,2896.1,2827.3,2737.8,2483.9,2483.9,73.0,72.7,0.2,83.4,True
2026-02-09,2992.7,2992.7,2897.0,2901.9,2869.2,2756.0,2493.4,2493.4,76.2,73.4,2.7,87.3,True
2026-02-10,2943.6,2999.6,2937.3,2977.0,2898.9,2775.2,2502.7,2502.7,83.8,75.5,8.3,86.8,True
2026-02-12,2970.1,3029.0,2951.5,3027.0,2925.5,2793.2,2512.8,2512.8,92.8,79.0,13.8,86.8,True
2026-02-13,2958.4,2987.8,2936.8,2946.6,2949.7,2808.3,2522.3,2522.3,92.4,81.6,10.7,89.6,True
2026-02-16,2943.6,2944.6,2851.4,2856.3,2941.8,2820.4,2530.8,2530.8,83.8,82.1,1.7,89.0,True
2026-02-17,2856.3,2890.7,2822.5,2822.5,2925.9,2829.6,2539.2,2539.2,73.4,80.3,-6.9,89.7,True
2026-02-18,2887.2,2913.7,2870.5,2896.1,2909.7,2836.2,2548.1,2548.1,70.3,78.3,-8.0,93.1,True
2026-02-19,2905.4,2952.5,2899.5,2952.5,2894.8,2841.3,2557.7,2557.7,71.6,77.0,-5.4,92.7,True
2026-02-20,2923.5,2924.0,2871.0,2886.7,2882.8,2840.4,2566.3,2566.3,66.5,74.9,-8.4,94.8,True
